ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
1,"10,000 Degrees - CA",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6466,95-3667812,90.23,0.7030,0.1490,0.1460,0.13,1.12,0.0600,0.0310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2,100 Black Men of America - GA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12098,58-1974429,88.49,0.8660,0.1080,0.0250,0.02,1.02,0.0220,0.1900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
3,100 Club of Arizona - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12123,23-7172077,90.59,0.8460,0.1240,0.0290,0.04,0.62,-0.0100,0.0990,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4,1000 Friends of Florida - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10092,59-2761163,88.13,0.7880,0.1510,0.0590,0.06,0.79,-0.0870,0.0720,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,1000 Friends of Oregon - OR,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8770,93-0642086,91.94,0.7140,0.1010,0.1840,0.18,2.37,0.0990,0.0180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,24 Foundation - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235,20-3768277,83.85,0.8560,0.0680,0.0750,0.09,< 0.01,0.1320,1.5410,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
7,350.org - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16289,26-1150699,95.03,0.8330,0.1340,0.0320,0.02,1.04,0.1360,0.0910,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,4 Paws for Ability  - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055,31-1625484,93.91,0.8720,0.0750,0.0510,0.07,1.41,0.2270,0.3410,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,The 52nd Street Project - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13546,13-3467948,91.7,0.7660,0.1180,0.1150,0.13,9.59,0.0440,0.0060,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
10,The 92nd Street Y - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4792,13-1624229,88.59,0.8510,0.0950,0.0530,0.10,0.45,0.0240,0.1870,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
11,9to5 National Association of Working Women - WI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,34-1246311,92.18,0.8140,0.1350,0.0490,0.04,1.02,0.1010,0.0340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
12,A Better Chance - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6082,23-7173492,71.46,0.6710,0.1030,0.2250,0.33,< 0.01,0.0630,0.2060,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
13,A Better LA - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13045,20-2274095,61.01,0.7760,0.2000,0.0220,0.02,0.06,-0.2830,< 0.1%,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
14,A Chance In Life - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16343,13-1835632,90.77,0.7680,0.1130,0.1170,0.08,2.27,0.0230,0.0130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,A Chance to Change Foundation - OK,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15907,73-1116884,88.72,0.8150,0.0990,0.0840,0.13,0.47,0.0950,0.2380,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
16,A Child's Place - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15368,58-1911741,89.39,0.8530,0.0580,0.0870,0.07,0.69,-0.0180,0.0970,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,A Contemporary Theatre - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3634,91-0787792,77.98,0.7760,0.1430,0.0790,0.15,< 0.01,0.0180,1.7150,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,A Jewish Voice for Peace - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16302,90-0018359,85.64,0.7780,0.0980,0.1220,0.12,0.26,0.5430,0.2620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
19,A Kid Again - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9239,31-1440073,94.78,0.8920,0.0290,0.0780,0.11,0.66,0.0760,0.0150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20,A Kids' Brain Tumor Cure - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15719,26-0295572,90.71,0.8120,0.0610,0.1250,0.10,3.66,0.0100,0.0020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
21,A Noise Within - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10176,95-4443878,94.06,0.8480,0.0750,0.0750,0.17,4.28,0.1360,0.0710,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,A Place Called Home - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8040,95-4427291,93.97,0.7620,0.1140,0.1220,0.10,1.7,0.0840,0.0290,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
23,A.J. Muste Memorial Institute - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6096,23-7379088,91.07,0.8090,0.1400,0.0500,0.08,15.75,0.1530,0.0030,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
24,AAA Foundation for Traffic Safety - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8302,52-0794368,92.02,0.9280,0.0620,0.0080,< $0.01,2.09,0.1570,0.1340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
25,AACA Museum - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11128,25-1716419,90.37,0.8180,0.1550,0.0260,0.04,7.1,0.0290,0.1100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
26,AARP Foundation - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3205,52-0794300,88.34,0.8020,0.0530,0.1430,0.11,0.59,0.0440,0.1940,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
27,AAUW - American Association of University Women - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3240,52-6037388,87.59,0.8010,0.1090,0.0880,0.21,2.12,0.0180,0.1160,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
28,Abandoned Children's Fund - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13189,20-5967513,73.58,0.9250,0.0100,0.0640,0.06,0.03,-0.1390,0.1200,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
