"","ID","Overall.Rating","Program.Expenses","Administrative.Expenses","Fundraising.Expenses","Fundraising.Efficiency","Working.Capital.Ratio..years.","Program.Expenses.Growth","Liabilities.to.Assets","Independent.Voting.Board.Members","No.Material.diversion.of.assets","Audited.financials.prepared.by.independent.accountant","Does.Not.Provide.Loan.s..to.or.Receive.Loan.s..From.related.parties","Documents.Board.Meeting.Minutes","Provided.copy.of.Form.990.to.organization.s.governing.body.in.advance.of.filing","Conflict.of.Interest.Policy","Whistleblower.Policy","Records.Retention.and.Destruction.Policy","CEO.listed.with.salary","Process.for.determining.CEO.compensation","Board.Listed...Board.Members.Not.Compensated","Donor.Privacy.Policy","Board.Members.Listed","Audited.Financials","Form.990","Key.staff.listed","reg_prediction","reg_error"
"1",1,90.23,0.703,0.149,0.146,0.13,1.12,0.06,0.031,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,87.1898241336949,3.04017586630508
"2",2,88.49,0.866,0.108,0.025,0.02,1.02,0.022,0.19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,87.7715442989169,0.718455701083101
"3",3,90.59,0.846,0.124,0.029,0.04,0.62,-0.01,0.099,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,89.9303097931193,0.659690206880668
"4",4,88.13,0.788,0.151,0.059,0.06,0.79,-0.087,0.072,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.1135385832313,-1.98353858323131
"5",5,91.94,0.714,0.101,0.184,0.18,2.37,0.099,0.018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.4833662003056,3.4566337996944
"6",7,95.03,0.833,0.134,0.032,0.02,1.04,0.136,0.091,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.9769287033773,6.05307129662269
"7",8,93.91,0.872,0.075,0.051,0.07,1.41,0.227,0.341,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.3027497329721,5.60725026702789
"8",9,91.7,0.766,0.118,0.115,0.13,9.59,0.044,0.006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,91.3447476034714,0.355252396528556
"9",10,88.59,0.851,0.095,0.053,0.1,0.45,0.024,0.187,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,91.0215175389548,-2.43151753895475
"10",11,92.18,0.814,0.135,0.049,0.04,1.02,0.101,0.034,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,90.4827773048769,1.69722269512313
"11",14,90.77,0.768,0.113,0.117,0.08,2.27,0.023,0.013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.9731616690769,-0.203161669076934
"12",15,88.72,0.815,0.099,0.084,0.13,0.47,0.095,0.238,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.9314432241678,1.78855677583216
"13",16,89.39,0.853,0.058,0.087,0.07,0.69,-0.018,0.097,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.2932398940291,-2.9032398940291
"14",18,85.64,0.778,0.098,0.122,0.12,0.26,0.543,0.262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,91.4515037780298,-5.81150377802983
"15",19,94.78,0.892,0.029,0.078,0.11,0.66,0.076,0.015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.3136004786316,-0.53360047863157
"16",20,90.71,0.812,0.061,0.125,0.1,3.66,0.01,0.002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.2090658491804,-1.49906584918044
"17",21,94.06,0.848,0.075,0.075,0.17,4.28,0.136,0.071,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.8548104423554,4.20518955764459
"18",22,93.97,0.762,0.114,0.122,0.1,1.7,0.084,0.029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,90.0732146000917,3.8967853999083
"19",23,91.07,0.809,0.14,0.05,0.08,15.75,0.153,0.003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,94.1232558398022,-3.0532558398022
"20",25,90.37,0.818,0.155,0.026,0.04,7.1,0.029,0.11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,90.4602866816113,-0.0902866816112464
"21",26,88.34,0.802,0.053,0.143,0.11,0.59,0.044,0.194,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.4666904824981,-0.126690482498077
"22",27,87.59,0.801,0.109,0.088,0.21,2.12,0.018,0.116,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.9121811927791,-1.3221811927791
"23",28,73.58,0.925,0.01,0.064,0.06,0.03,-0.139,0.12,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,75.6572297338328,-2.07722973383282
"24",29,91.14,0.797,0.095,0.107,0.12,2.67,0.052,0.164,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,89.5613223390141,1.57867766098595
"25",30,79.21,0.706,0.218,0.074,0.12,0.43,-0.051,0.075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,86.2129168443714,-7.00291684437137
"26",31,86.99,0.77,0.141,0.087,0.08,1,0.029,0.098,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,81.35194733268,5.63805266732003
"27",32,94.69,0.914,0.062,0.022,0.02,0.55,0.316,0.306,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98.1514143168882,-3.46141431688825
"28",33,85.76,0.772,0.14,0.086,0.08,0.53,-0.198,0.063,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85.1022504151913,0.657749584808727
"29",34,80.76,0.779,0.171,0.049,0.06,2.87,-0.086,0.034,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,81.4051893852337,-0.645189385233721
"30",35,77.53,0.747,0.143,0.109,0.11,3.46,0.116,0.033,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,77.6959242401869,-0.165924240186925
"31",36,77.97,0.697,0.127,0.175,0.23,7.23,0.007,0.318,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,80.5699617808253,-2.59996178082532
"32",37,85.49,0.856,0.045,0.098,0.1,2.03,-0.019,0.183,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,85.3822598223853,0.107740177614673
"33",38,79.9,0.586,0.299,0.114,0.14,4.41,0.002,0.037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,79.5492588378143,0.350741162185713
"34",39,83.43,0.895,0.053,0.051,0.04,1.08,-0.027,0.319,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,81.9931776518514,1.4368223481486
"35",40,84.97,0.739,0.137,0.123,0.16,2.78,-0.027,0.017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,84.7565682287322,0.213431771267821
"36",41,79.58,0.673,0.151,0.174,0.04,23.62,0.174,0.026,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,81.7779014627238,-2.19790146272383
"37",42,84.67,0.809,0.126,0.064,0.24,0.37,0.422,0.718,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,85.8139219778317,-1.14392197783165
"38",43,88.54,0.782,0.159,0.058,0.09,0.98,0.034,0.193,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,87.4796312019552,1.06036879804485
"39",46,86.47,0.74,0.159,0.099,0.12,4.19,0.02,0.088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.5776271886095,-2.10762718860954
"40",47,94.88,0.896,0.057,0.045,0.03,1.97,0.018,0.004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,96.2538123969087,-1.37381239690869
